Filing Date,Fund Name,Fund CIK,Accession Number,Filing URL,Name of Issuer,Title of Class,CUSIP,FIGI,Value Raw ($000s),Value ($000s),Shares/Principal Amount Raw,Shares/Principal Amount,SH/PRN,Put/Call,Investment Discretion,Other Manager,Other Managers (raw),All Columns (raw),Voting Authority - Sole,Voting Authority - Shared,Voting Authority - None
2024-02-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000192,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000192/0001567619-24-000192-index.htm,SS&C TECHNOLOGIES HLDGS INC,COM,78467J100,,,,1028545,1028545,SH,,SOLE,,,"(to the nearest dollar): 62,854; ",1028545,0,0
2024-02-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000192,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000192/0001567619-24-000192-index.htm,THERAVANCE BIOPHARMA INC,COM,G8807B106,,,,7419226,7419226,SH,,SOLE,,,"(to the nearest dollar): 83,392; ",7419226,0,0
2024-02-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000192,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000192/0001567619-24-000192-index.htm,TOWER SEMICONDUCTOR LTD,SHS NEW,M87915274,,,,2710852,2710852,SH,,SOLE,,,"(to the nearest dollar): 82,735; ",2710852,0,0
2024-02-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000192,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000192/0001567619-24-000192-index.htm,VIASAT INC,COM,92552V100,,,,16174839,16174839,SH,,SOLE,,,"(to the nearest dollar): 452,087; ",16174839,0,0
2024-02-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000192,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000192/0001567619-24-000192-index.htm,WARNER BROS DISCOVERY INC,COM SER A,934423104,,,,25235094,25235094,SH,,SOLE,,,"(to the nearest dollar): 287,175; ",25235094,0,0
2024-02-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000192,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000192/0001567619-24-000192-index.htm,WILLIS TOWERS WATSON PLC LTD,SHS,G96629103,,,,1555667,1555667,SH,,SOLE,,,"(to the nearest dollar): 375,227; ",1555667,0,0
2023-11-13,Baupost Group (Seth Klarman),1061768,0001567619-23-007709,https://www.sec.gov/Archives/edgar/data/1061768/000156761923007709/0001567619-23-007709-index.htm,ADVANTAGE SOLUTIONS INC,COM CL A,00791N102,,,,6153982,6153982,SH,,SOLE,,,"(to the nearest dollar): 17,477; ",6153982,0,0
2023-11-13,Baupost Group (Seth Klarman),1061768,0001567619-23-007709,https://www.sec.gov/Archives/edgar/data/1061768/000156761923007709/0001567619-23-007709-index.htm,ALPHABET INC,CAP STK CL C,02079K107,,,,3831538,3831538,SH,,SOLE,,,"(to the nearest dollar): 505,188; ",3831538,0,0
2023-11-13,Baupost Group (Seth Klarman),1061768,0001567619-23-007709,https://www.sec.gov/Archives/edgar/data/1061768/000156761923007709/0001567619-23-007709-index.htm,ALTICE USA INC,CL A,02156K103,,,,4774615,4774615,SH,,SOLE,,,"(to the nearest dollar): 15,613; ",4774615,0,0
2023-11-13,Baupost Group (Seth Klarman),1061768,0001567619-23-007709,https://www.sec.gov/Archives/edgar/data/1061768/000156761923007709/0001567619-23-007709-index.htm,ATARA BIOTHERAPEUTICS INC,COM,046513107,,,,9773616,9773616,SH,,SOLE,,,"(to the nearest dollar): 14,465; ",9773616,0,0
